Code,Name
1,1 - INFANTE-PASSEIO ALEGRE
106,ZF - VALADARES (ESTACAO)-FRANCELOS
107,ZC - ESTADIO DO DRAGAO - AREIAS
10M,10M - AV.ALIADOS - VILA D''ESTE
11M,11M - HOSP. S. JOAO - COIMBROES
12M,12M - AV.ALIADOS - STO.OVIDIO
13M,13M - AV.ALIADOS - MATOSINHOS (MERCADO)
18,18 - PASSEIO ALEGRE - CARMO
1M,1M - AV.ALIADOS - MATOSINHOS (PRAIA)
200,200 - BOLHAO-CAST. QUEIJO
201,201 - ALIADOS-VISO
202,202 - ALIADOS-PASSEIO ALEGRE (VIA AV. BESSA)
203,203 - MARQUES - CAST.QUEIJO
204,204 - HOSPITAL DE S.JOAO - FOZ
205,205 - CAMPANHA-CASTELO DO QUEIJO
206,206 - CAMPANHA-VISO
207,207 - CAMPANHA-MERCADO DA FOZ
208,208 - ALIADOS-ALDOAR
209,209 - PASTELEIRA-PRELADA
300,300 - CIRCULAR HOSPITAL DE S.JOAO-ALIADOS
301,301 - CIRCULAR HOSPITAL S.JOAO-SA DA BANDEIR
302,302 - CIRCULAR ALIADOS-DAMIAO DE GOIS
303,303 - CIRCULAR PRACA DA LIBERDADE-CONSTITUIC
304,304 - ALIADOS-STA. LUZIA
305,305 - CORDOARIA-HOSPITAL DE S.JOAO
3M,3M - AV.ALIADOS - AEROPORTO
400,400 - ALIADOS-PARQUE NASCENTE
401,401 - BOLHAO-S.ROQUE
402,402 - BOAVISTA - S.ROQUE
403,403 -  BOAVISTA (CASA MUSICA)-CAMPANHA
4M,4M - AV.ALIADOS - MAIA (CAMARA)
500,500 - PRACA LIBERDADE-MATOSINHOS (MERCADO)
501,501 - ALIADOS-MATOSINHOS (PRAIA)
502,502 - BOLHAO-MATOSINHOS (MERCADO)
503,503 - BOAVISTA (BOM SUCESSO)- GATOES
504,504 - BOAVISTA - NORTESHOPPING
505,505 - HOSPITAL S. JOAO-MATOSINHOS (MERCADO)
506,506 - HOSPITAL S.JOAO-MATOSINHOS (MERCADO)
507,507 - CORDOARIA-MAR SHOPPING
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
5M,5M - AV.ALIADOS - ERMESINDE (ESTACAO)
600,600 - ALIADOS-MAIA(BARCA)
601,601 - CORDOARIA-AEROPORTO (Via MAR Shopping)
602,602 - CORDOARIA-AEROPORTO (VIA PADRAO MOREIRA
603,603 - MARQUES-MAIA
604,604 - HOSPITAL S.JOAO-AEROPORTO(VIA CRESTINS)
700,700 - BOLHAO - CAMPO
701,701 - BOLHAO-CODICEIRA
702,702 - BOLHAO-TRAVAGEM
703,703 - CORDOARIA-SONHOS
704,704 - BOAVISTA - CODICEIRA
705,705 - HOSPITAL S. JOAO-VALONGO (CONTINENTE)
706,706 - H.S.JOAO - ERMESINDE(EST)VIA MTE PENEDO
707,707 - H.S.JOAO-ERMESINDE(EST)VIA ARREGADAS
7M,7M - AV.ALIADOS - VALONGO
800,800 - BOLHAO-GONDOMAR
801,801 - CORDOARIA-S.PEDRO DA COVA
803,803 - BOAVISTA-RIO TINTO(Esc. Sec.)
804,804 - HOSPITAL S.JOAO-S.PEDRO DA COVA
805,805 - MARQUES-RIO TINTO (ESTACAO)
806,806 - MARQUES - FANZERES (METRO)
8M,8M - AV.ALIADOS - S.PEDRO DA COVA
901,901 - TRINDADE-VALADARES
902,902 - BOAVISTA - LAVADORES
903,903 - BOAVISTA-VILAR DO PARAISO
904,904 - BOLHAO-COIMBROES
905,905 - BOLHAO-MONTE DA VIRGEM
906,906 - TRINDADE-MADALENA
907,907 - BOAVISTA-VILA D''ESTE
910,900P - CORDOARIA - S. BENTO
920,900G - PTE. LUIZ I - STO. OVIDIO
9M,9M - ROTUNDA AEP - GONDOMAR (VIA H. S. Joao)
V94,700_V94 - BOLHAO-CAMPO